run_id,seed,Δ accuracy (pp),95% CI (pp),McNemar p,BH-adjusted p
C-dermamnist-28px-resnet18-batchnorm-policy-none-s0,0,0.25,"[-0.95, 1.45]",0.751,1
C-dermamnist-28px-resnet18-batchnorm-policy-none-s1,1,-2.89,"[-4.04, -1.80]",5.76e-07,1.73e-06
C-dermamnist-28px-resnet18-batchnorm-policy-none-s2,2,0.05,"[-1.50, 1.65]",1,1
